Product ID,Product Position,Price,Competitor's Price,Promotion,Foot Traffic,Consumer Demographics,Product Category,Seasonal,Sales Volume,Promotion_numeric
185102,Aisle,17.07,16.16,No,Medium,Families,Clothing,No,2823,0
188771,Aisle,17.41,13.13,No,Low,Seniors,Clothing,No,654,0
180176,End-cap,43.16,38.37,Yes,Medium,Young adults,Electronics,Yes,2220,1
112917,Aisle,42.26,38.98,Yes,Low,Families,Clothing,Yes,1568,1
192936,End-cap,47.94,45.59,No,Medium,College students,Clothing,Yes,2942,0
117590,End-cap,34.5,34.34,No,Medium,Seniors,Clothing,No,2968,0
189118,Front of Store,41.11,40.15,Yes,High,College students,Clothing,Yes,952,1
182157,Aisle,15.75,12.3,No,Low,College students,Clothing,No,2421,0
141861,Aisle,30.07,26.75,Yes,High,Families,Electronics,Yes,1916,1
137121,Aisle,38.0,33.38,No,High,Families,Electronics,Yes,656,0
113143,Aisle,27.42,22.82,Yes,High,College students,Food,Yes,2663,1
140028,Aisle,12.15,9.39,Yes,High,College students,Food,Yes,1260,1
134693,Aisle,31.45,28.93,Yes,Low,College students,Food,No,2124,1
151396,Front of Store,19.81,17.04,Yes,Medium,Families,Food,Yes,729,1
132889,Aisle,15.74,12.8,Yes,Low,Families,Food,Yes,2265,1
152174,End-cap,13.16,12.94,No,Medium,Young adults,Clothing,No,2226,0
129906,Aisle,14.58,14.49,No,Medium,Young adults,Food,No,2089,0
195879,Front of Store,21.03,18.54,Yes,Medium,Young adults,Food,Yes,2339,1
155050,Aisle,19.92,14.93,No,High,College students,Clothing,Yes,2321,0
194410,End-cap,36.2,32.49,No,Low,Young adults,Electronics,No,669,0
141904,End-cap,27.36,23.03,Yes,Medium,College students,Food,Yes,1712,1
124981,Front of Store,42.74,40.29,No,Low,Families,Clothing,Yes,1832,0
161909,Aisle,22.16,20.85,Yes,Medium,Young adults,Electronics,No,1290,1
129152,End-cap,48.51,47.56,No,Low,Seniors,Electronics,No,2356,0
183243,Front of Store,39.32,37.12,Yes,Low,Families,Food,No,1524,1
198248,Front of Store,27.81,23.4,Yes,High,Seniors,Clothing,No,1644,1
191230,End-cap,49.95,45.65,No,High,Young adults,Clothing,No,966,0
187234,Front of Store,39.27,35.55,Yes,Low,College students,Clothing,Yes,2575,1
148888,Front of Store,16.92,14.44,No,Low,Families,Clothing,No,2774,0
110805,Front of Store,35.91,34.74,Yes,Medium,Young adults,Food,No,2477,1
179801,Front of Store,46.81,43.04,No,Low,College students,Electronics,Yes,2608,0
134927,Aisle,6.1,5.37,Yes,High,Families,Electronics,Yes,2252,1
123150,End-cap,37.03,34.9,Yes,Medium,Seniors,Electronics,No,2074,1
159145,End-cap,19.01,18.27,Yes,High,Seniors,Electronics,No,2579,1
172364,Aisle,12.3,10.3,Yes,High,College students,Clothing,No,2931,1
178281,End-cap,11.64,7.89,No,Low,College students,Electronics,Yes,1145,0
194339,End-cap,18.2,16.18,No,Low,Seniors,Clothing,No,1792,0
174412,Aisle,23.93,19.71,No,Low,Young adults,Electronics,Yes,1796,0
114877,Aisle,21.76,21.09,No,Medium,College students,Clothing,No,1860,0
140727,End-cap,15.89,12.07,Yes,High,Families,Clothing,Yes,1002,1
133109,Front of Store,36.13,31.33,No,High,Families,Clothing,Yes,2063,0
127296,Aisle,34.02,32.31,No,Low,Families,Food,No,1165,0
133757,Aisle,7.38,3.97,Yes,High,Families,Electronics,No,2071,1
111760,End-cap,19.3,17.41,No,Low,College students,Clothing,No,1474,0
198375,End-cap,7.1,6.84,No,Low,Seniors,Clothing,No,2202,0
168837,Aisle,43.43,38.54,No,Low,Families,Electronics,No,665,0
138505,Front of Store,46.72,42.48,No,Low,Seniors,Food,No,2478,0
116228,End-cap,36.32,32.95,Yes,Medium,Families,Clothing,No,647,1
167592,Front of Store,17.76,16.84,Yes,Medium,Seniors,Food,No,707,1
133100,End-cap,47.78,43.18,Yes,Medium,Families,Clothing,No,2729,1
119955,Front of Store,34.12,32.94,No,High,Young adults,Electronics,No,1590,0
189349,End-cap,45.91,42.91,Yes,Medium,Seniors,Electronics,No,1245,1
127478,Front of Store,29.3,26.06,No,Low,Young adults,Clothing,Yes,2498,0
180661,Front of Store,39.96,36.05,No,High,Young adults,Food,Yes,1041,0
186681,End-cap,39.46,35.1,No,Low,Young adults,Food,Yes,1717,0
133183,Front of Store,45.07,44.26,Yes,Low,Families,Electronics,Yes,2859,1
173508,Aisle,13.67,13.18,Yes,High,Families,Food,No,1658,1
187930,End-cap,19.95,19.19,No,Medium,College students,Electronics,Yes,706,0
124088,End-cap,48.71,46.44,Yes,High,Young adults,Electronics,Yes,2065,1
190238,Front of Store,34.67,32.6,No,High,Seniors,Clothing,Yes,1917,0
151925,End-cap,47.63,42.99,Yes,Medium,Seniors,Food,Yes,2179,1
163234,Front of Store,12.03,7.97,No,Medium,Young adults,Clothing,No,1633,0
